"","level","area","inc","country","age","prev","sexRatio15_49","sexRatio15_64","malePrev","maleART","sexualDebut20_49","sexualDebut25_49"
"1",1,"Bengo",0,"ANG","Y010_014",0.182068507151976,1.06369407581639,1.02787175344986,0.973645038447398,42.7840533371405,17.2,17.3
"2",1,"Benguela",0,"ANG","Y010_014",0.232776836145598,0.924262984336116,0.91158586233665,1.30392143254548,46.9274867899242,16.7,16.8
"3",1,"Bié",0,"ANG","Y010_014",0.250628775197746,0.926762217881411,0.901784001124887,1.36301574378806,39.760870492396,15.8,15.8
"4",1,"Cabinda",0,"ANG","Y010_014",0.110297991351292,1.05018136409305,1.06353117824246,0.688657281367456,45.6982906872769,17.2,17.3
"5",1,"Cuando Cubango",0,"ANG","Y010_014",0.59081771484088,0.787478885459594,0.80298031229293,3.0615760849299,46.0061008997826,16.1,16.4
"6",1,"Cuanza Norte",0,"ANG","Y010_014",0.248128672827739,0.988614568659797,0.921504051250905,1.37041861110819,33.110436276556,15.7,15.7
"7",1,"Cuanza Sul",0,"ANG","Y010_014",0.15118371466186,1.01020792066154,0.998164437179486,0.65650399325202,34.432607132086,16.1,16.2
"8",1,"Cunene",0,"ANG","Y010_014",0.532033192386963,0.842025746596461,0.808143024496102,3.77872403023015,15.9113165955443,16.4,16.3
"9",1,"Huambo",0,"ANG","Y010_014",0.179025452080786,0.941504563355791,0.911568951932667,0.83422606126545,48.9046808689718,16.1,16.1
"10",1,"Huíla",0,"ANG","Y010_014",0.152802280514129,0.936396902057424,0.931280504824639,0.904606117207187,35.5160419752514,16.6,16.6
"11",1,"Luanda",0,"ANG","Y010_014",0.213574971223525,1.03166323785772,1.02170838070579,1.33711981928215,31.1482232892504,17,17
"12",1,"Lunda Norte",0,"ANG","Y010_014",0.692225935656975,0.942451738970443,0.975523802033528,3.21290538724151,57.1909779643808,16.5,16.4
"13",1,"Lunda Sul",0,"ANG","Y010_014",0.720978048029261,0.86223413654668,0.881287475576448,4.16999143708447,57.9496942560277,15.8,15.7
"14",1,"Malanje",0,"ANG","Y010_014",0.213634753256744,0.984112023808627,0.943251314218309,1.32667196352313,44.4992764769106,14.8,14.8
"15",1,"Moxico",0,"ANG","Y010_014",0.707677826669226,1.03009709332268,1.02540318252184,2.9830840448275,39.6691395177144,16.3,16.5
"16",1,"Namibe",0,"ANG","Y010_014",0.209703773657338,0.947353106982947,0.939600299857918,1.34454228683037,37.9499429726224,16,16.1
"17",1,"Uíge",0,"ANG","Y010_014",0.136482671312561,0.97745535037872,0.960934576058797,0.62982322882609,44.5589740921307,16.6,16.8
"18",1,"Zaire",0,"ANG","Y010_014",0.0640959174909724,1.01822900304367,1.00695031631113,0.364775855993195,45.4539981821856,16.9,17
"19",1,"Bengo",0.58655470910909,"ANG","Y015_019",0.276287098102157,1.06369407581639,1.02787175344986,0.973645038447398,42.7840533371405,17.2,17.3
"20",1,"Benguela",0.700787517275665,"ANG","Y015_019",0.392177268950849,0.924262984336116,0.91158586233665,1.30392143254548,46.9274867899242,16.7,16.8
"21",1,"Bié",0.809854887904809,"ANG","Y015_019",0.415417099218667,0.926762217881411,0.901784001124887,1.36301574378806,39.760870492396,15.8,15.8
"22",1,"Cabinda",0.412811796155784,"ANG","Y015_019",0.193125052282387,1.05018136409305,1.06353117824246,0.688657281367456,45.6982906872769,17.2,17.3
"23",1,"Cuando Cubango",1.90208985383721,"ANG","Y015_019",0.812226867628535,0.787478885459594,0.80298031229293,3.0615760849299,46.0061008997826,16.1,16.4
"24",1,"Cuanza Norte",0.841174993119476,"ANG","Y015_019",0.413869796187034,0.988614568659797,0.921504051250905,1.37041861110819,33.110436276556,15.7,15.7
"25",1,"Cuanza Sul",0.425716926929845,"ANG","Y015_019",0.21186326307895,1.01020792066154,0.998164437179486,0.65650399325202,34.432607132086,16.1,16.2
"26",1,"Cunene",2.62043059660495,"ANG","Y015_019",0.926244022206232,0.842025746596461,0.808143024496102,3.77872403023015,15.9113165955443,16.4,16.3
"27",1,"Huambo",0.499350360203781,"ANG","Y015_019",0.2694833381116,0.941504563355791,0.911568951932667,0.83422606126545,48.9046808689718,16.1,16.1
"28",1,"Huíla",0.570637619538656,"ANG","Y015_019",0.261109505447828,0.936396902057424,0.931280504824639,0.904606117207187,35.5160419752514,16.6,16.6
"29",1,"Luanda",0.919276327293751,"ANG","Y015_019",0.388999039051315,1.03166323785772,1.02170838070579,1.33711981928215,31.1482232892504,17,17
"30",1,"Lunda Norte",1.61666394266522,"ANG","Y015_019",1.11940578744921,0.942451738970443,0.975523802033528,3.21290538724151,57.1909779643808,16.5,16.4
"31",1,"Lunda Sul",1.9357326945962,"ANG","Y015_019",1.11683927147933,0.86223413654668,0.881287475576448,4.16999143708447,57.9496942560277,15.8,15.7
"32",1,"Malanje",0.75199801064906,"ANG","Y015_019",0.417339984231681,0.984112023808627,0.943251314218309,1.32667196352313,44.4992764769106,14.8,14.8
"33",1,"Moxico",1.90064112144915,"ANG","Y015_019",1.01689014318012,1.03009709332268,1.02540318252184,2.9830840448275,39.6691395177144,16.3,16.5
"34",1,"Namibe",0.82156956208824,"ANG","Y015_019",0.38236318307282,0.947353106982947,0.939600299857918,1.34454228683037,37.9499429726224,16,16.1
"35",1,"Uíge",0.357068938465099,"ANG","Y015_019",0.195228866881567,0.97745535037872,0.960934576058797,0.62982322882609,44.5589740921307,16.6,16.8
"36",1,"Zaire",0.208566885863163,"ANG","Y015_019",0.115506934326562,1.01822900304367,1.00695031631113,0.364775855993195,45.4539981821856,16.9,17
