Country,Characteristic,Median age at first sexual intercourse [Women]: 20-24,Median age at first sexual intercourse [Women]: 25-29,Median age at first sexual intercourse [Women]: 20-49,Median age at first sexual intercourse [Women]: 25-49,level,area,age
Angola,Provinces : Cunene           (L1),16.7,16.1,16.4,16.3,1,Cunene,Y020_Y024
Angola,Provinces : Cunene           (L1),16.7,16.1,16.4,16.3,1,Cunene,Y025_Y029
Angola,Provinces : Lunda Sul        (L1),15.9,15.8,15.8,15.7,1,Lunda Sul,Y010_Y014
Angola,Provinces : Lunda Sul        (L1),15.9,15.8,15.8,15.7,1,Lunda Sul,Y015_Y019
Angola,Provinces : Lunda Sul        (L1),15.9,15.8,15.8,15.7,1,Lunda Sul,Y020_Y024
Angola,Provinces : Lunda Sul        (L1),15.9,15.8,15.8,15.7,1,Lunda Sul,Y025_Y029
Angola,Provinces : Bengo            (L1),16.9,17.1,17.2,17.3,1,Bengo,Y010_Y014
Angola,Provinces : Bengo            (L1),16.9,17.1,17.2,17.3,1,Bengo,Y015_Y019
Angola,Provinces : Bengo            (L1),16.9,17.1,17.2,17.3,1,Bengo,Y020_Y024
Angola,Provinces : Bengo            (L1),16.9,17.1,17.2,17.3,1,Bengo,Y025_Y029
,,,,,,,,
,,,,,,,,
,,,,,,,,
